Trace
Swept SA
A.08.55,N9000A
503360000,-88.9292805195694
503370000,-88.9743481115603
503380000,-89.0036626857394
503390000,-88.7409866062672
503400000,-89.053265020248
503410000,-89.1253414757239
503420000,-88.9224641212791
503430000,-89.2323562232865
503440000,-88.620390055228
503450000,-89.2272094828123
503460000,-88.7630878350596
503470000,-89.1358371638989
503480000,-89.2754873699931
503490000,-89.247656883598
503500000,-89.1228588025687
503510000,-89.1253922232599
503520000,-89.1378961739129
503530000,-88.8103601944168
503540000,-89.4253347157237
503550000,-89.2823694328353
503560000,-89.2475919207804
503570000,-88.6817323494721
503580000,-88.823452552244
503590000,-89.3734232649707
503600000,-89.3758023132347
503610000,-88.5383225894764
503620000,-89.2103278190155
503630000,-89.1287375332102
503640000,-88.6951982915629
503650000,-89.239796398998
503660000,-89.3364765032261
503670000,-89.5762621416939
503680000,-89.3317504410216
503690000,-89.1214932995704
503700000,-89.5317390071554
503710000,-89.5465348987715
503720000,-88.7122004152949
503730000,-89.6400860546761
503740000,-88.9896667328666
503750000,-88.6704835201488
503760000,-89.0872641954557
503770000,-89.5150272177434
503780000,-88.6784284706195
503790000,-88.9127237102471
503800000,-88.9724386934297
503810000,-89.8638501785746
503820000,-89.3437610102663
503830000,-88.7789207471038
503840000,-88.6228246516524
503850000,-88.5657244111036
503860000,-89.289877467457
503870000,-88.9803608322755
503880000,-89.1868773428639
503890000,-89.2783705063648
503900000,-88.8116844448131
503910000,-89.1091313032873
503920000,-88.9420234742626
503930000,-88.6718000213315
503940000,-88.8407858784948
503950000,-89.6473145963367
503960000,-89.0879011489111
503970000,-89.4471699361095
503980000,-89.1212276318457
503990000,-89.5432008204372
504000000,-89.4419684271357
504010000,-89.3829401403197
504020000,-89.0067368844036
504030000,-89.0670373826427
504040000,-89.5573952856713
504050000,-90.0341224673486
504060000,-89.0347081908001
504070000,-89.257836529164
504080000,-89.2982630151226
504090000,-89.2447923816241
504100000,-89.2422246888278
504110000,-88.4344077238465
504120000,-88.6140356471063
504130000,-88.7044620367091
504140000,-89.6274104759274
504150000,-88.5794578684528
504160000,-88.737408521173
504170000,-88.6709445672862
504180000,-89.1851202797972
504190000,-89.1243646481241
504200000,-89.5679833589284
504210000,-89.2945922731957
504220000,-88.6716637583207
504230000,-88.9200352349049
504240000,-89.0018948855354
504250000,-89.590878113922
504260000,-89.3741398254014
504270000,-89.1507808724785
504280000,-88.9754109215296
504290000,-88.5882041385501
504300000,-89.2235081038598
504310000,-88.2952987716347
504320000,-88.9791709941732
504330000,-89.3983069088829
504340000,-89.063069292908
504350000,-89.168419130614
504360000,-89.0108566985421
504370000,-88.9571725709533
504380000,-88.8713729967491
504390000,-89.1319170317387
504400000,-89.6727262201034
504410000,-88.9264723845902
504420000,-88.7036988231282
504430000,-89.2248870897337
504440000,-89.0428688227346
504450000,-89.4043807778091
504460000,-89.1848800005158
504470000,-88.7128000970814
504480000,-89.3740417064811
504490000,-89.1772682936867
504500000,-89.466368529094
504510000,-88.5690404809102
504520000,-88.6260427095045
504530000,-89.0356993053231
504540000,-88.8186393135497
504550000,-88.9393541672755
504560000,-89.1533837783793
504570000,-88.6056915336827
504580000,-89.0641373773413
504590000,-89.5134541382524
504600000,-88.7648913556881
504610000,-89.3293306055312
504620000,-89.0435901777806
504630000,-88.8669844887356
504640000,-88.610688427857
504650000,-88.4529925258483
504660000,-88.3222620402382
504670000,-88.7025904319469
504680000,-88.8990675589468
504690000,-88.9132248775289
504700000,-88.9474429214356
504710000,-89.0474399508477
504720000,-88.8710292823837
504730000,-89.0836079701985
504740000,-88.744275511077
504750000,-88.891248861162
504760000,-89.191874296388
504770000,-89.0482660505053
504780000,-89.5316310023762
504790000,-89.1589080145453
504800000,-88.7315477095004
